"no","sun","ins","kal"
,"mutiktrik","buncit perut karena kenyang",
,"mutlak","mutlak",
,"mutu","alat pelumat dari batu/kayu (ulekan)",
,"mutuh","amat, sangat",
,"mutung","mendapat untung/laba besar",
,"mutuskeun","memutuskan",
,"muyudun","murung, tak bergairah",
,"na","nya",
,"nagara","negara",
,"nagarana","negaranya",
,"nagri","negeri",
,"naha","kenapa",
,"nahan","menahan",
,"nakal","nakal",
,"naker","sangat sekali",
,"nakleuk","berduyun-duyun",
,"nakol","memukul",
,"naktu","menghitung hari baik",
,"nalaktak","nakal, tak mau diam",
,"nalangsa","sedih, nelangsa",
,"nalika","ketika",
,"nambahan","menambah",
,"nambleg","serupa benar",
,"nami","nama",
,"nampa","menerima",
,"nampuyak","lembek",
,"namung","hanya",
,"nanaon","apa-apa",
,"nandakeun","menandakan",
,"nandang atau nandangan","tanggung, menanggung",
,"nandeskeun","menandaskan",
,"nanggerang","di atas gunung",
,"nanging","tetapi",
,"nangkorek","tersembunyi di bawah",
,"nangna-nengne","dipelihara baik-baik",
,"nangtawing","curam",
,"nangtayungan","melindungi",
,"nangtung","berdiri",
,"nanjeurkeun","menandaskan",
,"nanjung","beruntung",
,"nanya","bertanya",
,"nanyakeun","menanyakan",
,"naon","apa",
,"napsi-napsi","masing-masing",
,"narah","tidak mau",
,"naratayan","berceceran, menyebar dari mulut ke mulut",
,"narekahan","mengusahakan",
,"narima","menerima",
,"naros","bertanya",
,"nasehat","petunjuk, nasihat",
,"nasib","nasib",
,"nasional","nasional",
,"nataku","amanat, sangat",
,"natrat","jelas",
,"natus","sedekah seratus hari",
,"nawaetu","niat",
,"nawing","curam",
,"neangan","mencari",
,"neba","banyak barang",
,"necis","rapih serta bersih",
,"neda","makan",
,"negla","jelas terlihat dari bawah",
,"negrak","terlihat, ketahuan",
,"neja","maksud, permohonan",
,"nembalan","menjawab",
,"nembongan","terlihat",
,"nembongkeun","menunjukkan",
,"nembrak","jelas",
,"nemprak","menebar diatas tanah, air",
,"nendeng","menandingi, menyamai",
,"neneh","nama kecil",
,"nengetan","memperhatikan",
,"nenggang","jauh tersendiri",
,"nenggel","telak, mengenai sasaran",
,"nengtereweleng","membantah",
,"nengtet","baru keluar sedikit",
,"nepong","membonceng",
,"nepungan","menemui",
,"nerag","menyinggung orang lain",
,"nerangkeun","menerangkan",
,"netepkeun","menetapkan",
,"netra","mata",
,"neuhneur","montok (payudara)",
,"neuleuman","mendalami",
,"neupikeun","hingga",
,"neut","hidup, bangun",
,"neuteuli","tidak lupa, ingat selalu",
,"neuteup","memandang",
,"newel","mengait sedikit",
,"newo-newo","mengganggu yang bekerja",
,"ngabageakeun","menyambut",
,"ngabagi","membagi",
,"ngabalanjaan","membelanjai",
,"ngabalukarkeun","menyebabkan",
,"ngabejaan","memberitahu",
,"ngabeledag","menggelegar",
,"ngabina","membina",
,"ngabogaan","memiliki",
,"ngabolongan","melubangi",
,"ngabuih","terus berkata tidak berhenti",
,"ngabuka","membuka",
,"ngadalingding","harum semerbak",
,"ngadangu","mendengar",
,"ngadegkeun","menegakkan",
,"ngadenge","mendengar",
,"ngadep","menghadap",
,"ngadon","menyengaja",
,"ngadongengkeun","mendongengkan",
,"ngadugikeun","menyampaikan",
,"ngadulag","memukul dulag secara berirama",
,"ngagambarkeun","menggambarkan",
,"ngaganggayong","membebani",
,"ngaganggu","mengganggu",
,"ngaganti","mengganti",
,"ngagebros","terperosok",
,"ngageder","bergetar terus-menerus",
,"ngagem","menganut",
,"ngageuyeunggeung","sakit-sakitan",
,"ngagotong","menggotong",
,"ngagunakeun","menggunakan",
,"ngagungkeun","mengagungkan",
,"ngahadiran","menghadiri",
,"ngahaja","sengaja",
,"ngaharewos","berbisik",
,"ngahasilkeun","menghasilkan",
,"ngahaturkeun","menghaturkan",
,"ngahirupkeun","menghidupkan",
,"ngahontal","menggapai",
,"ngahuapan","menyuapi",
,"ngahuleng","melamun",
,"ngajajah","menjajah",
,"ngajalankeun","menjalankan",
,"ngajamin","menjamin",
,"ngajaran","mencoba",
,"ngajarkeun","mengajarkan",
,"ngajawab","menjawab",
,"ngajedur","meledak",
,"ngajelegur","meledak",
,"ngajenan","menghargai",
,"ngaku","mengaku",
,"ngalagena","membujang",
,"ngalaksanakeun","melaksanakan",
,"ngalakukeunana","melakukannya",
,"ngalalana","berkelana",
,"ngalangkungan","melewati",
,"ngalarapkeunnana","menerapkannya",
,"ngalawan","melawan",
,"ngalayad","menengok",
,"ngalayang","melayang",
,"ngalelewodehkeun","berlaku sewenang-wenang",
,"ngaligeuh","menganggur",
,"ngaliwat","melewati",
,"ngaliwatan","melalui",
,"ngaluuhan","menghadiri",
,"ngamajukeun","memajukan",
,"ngamangpaatkeun","memanfaatkan",
,"ngamekarkeun","memekarkan",
,"ngamprah","mengajukan permohonan",
,"ngamuara","bermuara",
,"ngamumule","memelihara",
,"ngan","hanya, cuma",
,"ngandelan","mempertebal",
,"ngandelkeun","mengandalkan",
,"ngandung","mengandung",
,"ngangah","menganga",
,"nganggap","menganggap",
,"ngangge","menggunakan",
,"ngangkarawak","sobek besar",
,"ngangkrak","suka bertengkar",
,"ngangon","menggembala",
,"ngangres","terharu, sedih karena kasihan",
,"ngarah","agar, supaya",
,"ngarak","mengarak",
,"ngaraketkeun","mendekatkan",
,"ngaran","nama",
,"ngararasakeun","merasa-rasakan",
,"ngarariung","berkumpul",
,"ngarempak","melanggar",
,"ngareret","melirik",
,"ngareureuhkeun","mengistirahatkan",
,"ngarobrolkeun","membicarakan",
,"ngarojong","mendukung",
,"ngarti","mengerti",
,"ngaruksak","merusak",
,"ngaruseup","memancing",
,"ngasaan","merasakan",
,"ngasongkeun","memberikan",
,"ngawadahan","mewadahi",
,"ngawangun","membangun",
,"ngawartoskeun","memberitahu",
,"ngawates","membatas",
,"ngawilah-wilah","memilah-milah",
,"ngawitan","mulai",
,"ngawujudna","terwujudnya",
,"ngayakeun","mengadakan",
,"ngebrak","terang benderang",
,"ngece","melecehkan",
,"ngeceblek","celoteh",
,"ngeceskeun","menjelaskan",
,"ngecrek","hujan terus",
,"ngegel","menggigit",
,"ngeleyed","seperti pendiam tapi suka nakal",
,"ngempelkeun","mengumpulkan",
,"ngemploh","lebat daunnya dan segar",
,"ngempur","berkilauan",
,"ngenes","sakit hati",
,"ngeng","menangis(anak)",
,"ngengkreng","suara keras serta kecil",
,"ngenjeng","tinggal di rumah saudara",
,"ngentab","panas hati",
,"ngeplak","putih sekali dan rata",
,"ngerakeun","memalukan",
,"ngeres","terasa ada pasir di tempat duduk, sakit hati",
,"ngeunaan","mengenai",
,"ngeunah","enak",
,"ngeunteung","bercermin",
,"ngewa","benci, tidak suka",
,"ngijih","musim penghujan",
,"ngilu","ikut",
,"ngiluan","turut-serta",
,"nginum","minum",
,"ngiring","ikut",
,"ngiringan","mengikuti",
,"ngocorkeun","mengalirkan",
,"ngohngor","tonggas, jongang",
,"ngok","mencium",
,"ngokok","suka berdiam diri di rumah",
,"ngokolakeun","mengelola",
,"ngolayaban","mencari barang, keluar malam",
,"ngoleah","merana karena cinta",
,"ngolembar","hambar, timbul dari dalam air dan lemah",
,"ngomong","berbicara",
,"ngong","menyanyi",
,"ngontrak","mengontrak",
,"ngopepang","tangannya gerak terus raba ini pegang itu",
,"ngora","muda",
,"ngorejat","bangkit",
,"ngosom","berbicara seperti  penuh makanan",
,"ngotektak","mencari-cari",
,"ngoyok","berendam di air, mandi",
,"nguduhkeun","melunakkan",
,"ngulet","suka bangun siang",
,"nguluwut","murung",
,"ngumbara","mengembara",
,"ngumplang","penuh air",
,"ngungun","sedih, nelangsa",
,"nguntungkeun","menguntungkan",
,"nguping","mendengar",
,"ngurangan","mengurangi",
,"nguruskeun","mengurusi",
,"nguseup","memancing",
,"nguyang","paceklik",
,"nguyung","muram, tidak sehat",
,"nikmatna","nikmatnya",
,"nimbulkeun","menimbulkan",
,"nindihan","menindih",
,"ningali","melihat",
,"ningalian","melihat-lihat",
,"ningkatkeun","meningkatkan",
,"ningnang","janggal, tidak serasi",
,"nini","nenek",
,"nirca","nista, cela, aib",
,"niron-niron","meniru-niru",
,"nitenan","mengamati",
,"nohonan","memenuhi",
,"nonggerak","tidak terendam air",
,"nongtrog","keras kepala",
,"nonob","tempat tidur/kumpul",
,"nonoman","pemuda",
,"norostos","lancar dan cepat (bicara)",
,"noyek","bergerombol",
,"noyod","tak mengindahkan nasihat",
,"nu","yang",
,"nuhun","terima kasih",
,"nuju","sedang",
,"nulak","mengunci",
,"numpi","mengunci diri",
,"numutkeun","menurut",
,"nunda","menyimpan",
,"nundutan","ngantuk sambil duduk",
,"nunggeulis","sebatang kara",
,"nurani","nurani",
,"nurustunjung","tidak tahu malu",
,"nurutkeun","menurut",
,"nuwuhkeun","menumbuhkan",
,"nyaah","sayang",
,"nyacat","berjalan kaki",
,"nyaeta","yaitu",
,"nyah","membuka mata",
,"nyaho","tahu",
,"nyahoeun","mengetahui",
,"nyakakak","terbahak-bahak",
,"nyalingit","sakit perut",
,"nyalisih","nyerempet, tidak telak",
,"nyaluyukeun","menyelaraskan",
,"nyambuang","baunya menyebar",
,"nyamos","tidak berhasil",
,"nyampak","terlihat",
,"nyamur","menyamar",
,"nyana","tahu, mengira",
,"nyanggakeun","menyerahkan",
,"nyantong","sudah ada di depan mata",
,"nyanyautan","nyut-nyutan/nyeri",
,"nyaranyi","pada bernyanyi",
,"nyarekan","memarahi",
,"nyarengan","menyertai",
,"nyaring","bangun/tidak tidur",
,"nyaritakeun","menceritakan",
,"nyat","mengangkat sesuatu dari api",
,"nyatu","makan",
,"nyay","cahaya tidak terang",
,"nyebarkeun","menyebarkan",
,"nyebatkeun","menyebutkan",
,"nyedek","mendesak",
,"nyeh","tersenyum/tertawa",
,"nyekel","memegang",
,"nyemplu","gendut",
,"nyempod","sembunyi di pojok karena takut",
,"nyengcelak","tampak jelas dari yang lain",
,"nyengsreng","air akan mendidih",
,"nyenyepan","demam",
,"nyere","lidi",
,"nyerelek","mengalir",
,"nyeri","sakit",
,"nyieun","membuat",
,"nyiliwuri","membaur dengan yang lain dengan maksud buruk",
,"nyimpang","bertandang",
,"nyiptakeun","menciptakan",
,"nyiru","niru",
,"nyiruan","tawon",
,"nyodor","menjorok",
,"nyokot","mengambil",
,"nyongkab","sangat panas",
,"nyorot","menyorot",
,"nyot","menghisap",
,"nyublek","berada di daerah lembah sempit",
,"nyumponan","memenuhi",
,"nyumput","bersembunyi",
,"nyungkelit","sakit hati",
,"nyusun","menyusun",
,"nyuuh","bersujud karena sedih/sakit",
,"o","u-o mau muntah",
,"oa","binatang sejenis kera",
,"obah","ubah",
,"obrolanna","obrolannya",
,"ogan","udang",
,"oge","juga",
,"ogo","manja",
,"ohek","suara orang muntah",
,"ojah","daya upaya",
,"omongan","perkataan",
,"opatan","berempat",
,"paamprokna","bertemunya",
,"pabaliut","awut-awutan",
,"paburantak","rusak berantakan",
,"paburencay","bercerai berai",
,"paburisat","lari bercerai berai",
,"paburu-buru","bercepat-cepat",
,"pacang","dijodohkan oleh orangtua",
,"pacar","memerah kuku dengan daun pacar",
,"pacek","kawin binatang",
,"pacer","berkaki kecil",
,"pacet","lintah , macet",
,"pacikeuh","ditipu",
,"pacilingan","wc",
,"paciweuh","sibuk/ribut sambil banyak bicara",
,"pacogregan","pertengkaran, perselisihan",
,"pacok","mematuk",
,"pacuan","awas",
,"pacul","cangkul",
,"pacundang","bekas jagoan/jawara",
,"pada","kuplet, bait",
,"padahal","padahal",
,"padamayan","waktu itu juga",
,"padan","sama, imbang",
,"padang","terang",
,"padangkrang-pedengkreng","petantang-petenteng",
,"pada-pada","maisng-masing",
,"padaringan","tempat beras",
,"padet","penuh sesak",
,"padika","metoda",
,"padu","rebut kebenaran, asal",
,"padud atau padudan",,
,"paduk","tersenggol",
,"paduli","peduli",
,"padung","kayu tutup mayat di liang lahat",
,"padungdengan","berbantahan",
,"paeh","mati",
,"paesan","batu nisan",
,"pagah","dinasehati",
,"pagak","menegur, melarang",
,"pagawean","pekerjaan",
,"pagebug","musim wabah penyakit",
,"pager","pagar",
,"pageto","lusa",
,"pageuh","erat",
,"pagilinggisik","bersenggolan",
,"pagorenyang","berebutan",
,"paguron","perguruan",
,"pagut","nyenggol dan nyeangkut",
,"paham","paham",
,"pahatu","piatu",
,"paheula-heula","berlomba-lomba",
,"paheut","mengikat janji",
,"pahibut","bekerja tergesa-gesa",
,"pahing","dilarang, tabu",
,"pahugi","memberi uang/barang kepada kekasih",
,"pahung","bingung untuk melangkah/bergerak karena salah langkah",
,"paido","menyalahkan pekerjaan orang lain",
,"paila","paceklik",
,"pair","menuangkan air kopi/teh, menambahkan",
,"pais","pepes",
,"pait","pahit",
,"pajang","menghias rumah",
,"pajaratan","kuburan",
,"pajeg","pajak",
,"pajeng","payung, laku, paju",
,"pajodogan","waktu itu juga, mentah-mentah",
,"pajuaran","tempat tidur",
,"pajurawet","kusut",
,"pakakas","perkakas",
,"pakarang","senjata",
,"pakaya","harta kekayaan",
,"pake","menggunakan, memakai",
,"pakean","pakaian",
,"pakeun","bahan, biaya/ongkos",
,"pakewuh","kesulitan, kesusahan",
,"pakia-kia","berbeda pendapat",
,"paksa","paksa",
,"pakucrut","sedang berselisih",
,"pakupis","menggerakkan kedua tangan sambil bicara",
,"palakiah","akal/usaha agar maksud terlaksana",
,"palalangon","saung tinggi di pinggir hutan",
,"palamarta","benar, adil",
,"palanggeran","pedoman, peraturan",
,"palangkakan","selangkangan",
,"palangsiang","barangkali, jangan-jangan",
,"palapah","pelepah",
,"palar","harap, supaya",
,"palastra","gugur di medan laga",
,"palay","mau, capek, ngantuk",
,"palengos","memalingkan/membuang muka",
,"palengpeng","melempar/menimpuk dengan benda panjang",
,"paler","bisa melupakan kesedihan",
,"palid","mengalir ke hilir, hanyut",
,"palih","sebelah, bagian",
,"paling","maling, nyuri",
,"palipisan","pelipis",
,"palire","perhatikan, hiraukan",
,"paluk","pilihan",
,"palung","gila, sinting",
,"paluruh","menyelusuri",
,"pamajikan","istri",
,"pamaksudanna","maksudnya",
,"paman","paman",
,"pamarentah","pemerintah",
,"pamarentahan","pemerintahan",
,"pamatuk","paruh",
,"pambeng","tanggung",
,"pambrih atau pamrih","pamrih, balas jasa",
,"pameget","laki-laki",
,"pameunteu","wajah, muka",
,"pamingpin","pemimpin",
,"pamingpinna","pemimpinnya",
,"pamuda","pemuda",
,"pamugi","semoga",
,"pamul","raut wajah",
,"pamustungan","akhirnya",
,"panakolna","pemukulnya",
,"panalungtikan","penelitian",
,"panangan","tangan",
,"panangan","tangan",
,"panangtayungan","perlindungan",
,"panasaran","penasaran",
,"panasbaran","mudah marah",
,"panasbaya","berbagai hal yang membahayakan",
,"pancadria","pancaindra",
,"pancah","manrta/jampi-jampi penolak bala",
,"pancakaki","silsilah keluarga",
,"pancal","melompat pada yang akan dikendarai",
,"pancaraken","macam-macam perkakas dapur",
,"pancat","naik, manjat",
,"pancatengah","dunia yang didiami manusia",
,"pancawura","memercik/berhamburan kemana-mana",
,"panceg","teguh, kukuh",
,"pancen","tugas",
,"pancer","baku, mancur(air)",
,"pancing","kail",
,"panco","adu panco",
,"pancong","terkena pacul",
,"pancuh","patok, pantas, tegap, tampan",
,"pancur","bercahaya, berkilauan",
,"pandang","mengharap",
,"pandangan","pandangan",
,"pande","rupa/raut muka",
,"pandeuri","belakangan",
,"paneja","maksud, yang dimohon",
,"paneuteup","tatapan",
,"pang","paling",
,"pangadilan","pengadilan",
,"pangahengna","paling aneh",
,"pangajaran","pengajaran",
,"pangajen","penghargaan",
,"pangakuan","pengakuan",
,"pangalaman","pengalaman",
,"panganggo","pakaian, kebiasaan",
,"panganteur","pengantar",
,"pangaos","harga, nilai",
,"pangaruh","pengaruh",
,"pangasilan","penghasilan",
,"pangaweruh","pengetahuan",
,"pangger","tegar, teguh, tetap hati",
,"panggih","bertemu, menemui",
,"panggul","memikul",
,"panghina","penghinaan",
,"pangkeng","kamar",
,"pangkon","pangku",
,"pangladen","pelayanan",
,"pangling","lupa/ tidak mengenal orang yang sudah dikenal",
,"pangpet","tersumbat, terhalang(lubang)",
,"pangset","sangat asin",
,"panjing","masuk/cukup",
,"panon","mata",
,"panonna","matanya",
,"panonpoe","matahari",
,"panta","tingkat, tahap",
,"pantar","sama, sebaya",
,"panteng","terang",
,"pantes","pantas, layak, sesuai",
,"pantesna","pantasnya",
,"panting","terus-menerus mengikuti jejak binatang buruan",
,"panto","pintu",
,"panuhun","permintaan, permohonan",
,"panuju","setuju",
,"panungtung","penghujung",
,"panyawat","penyakit",
,"panyiksa","penyiksaan",
,"paok","mencuri",
,"paos","selamanya",
,"papada","saling",
,"papadana","sesamanya",
,"papag","menjemput",
,"papah","berjalan",
,"papak","rata bagian atasnya",
,"papalingpang","bertolak belakang",
,"papang","kencing",
,"papanggih","bertemu",
,"paparah","hanya berdasarkan perkiraan",
,"papatah","nasihat , mengajar",
,"papatong","capung",
,"para","bagian rumah antara atap dan langit-langit",
,"parab","makanan ternak",
,"parag","mendatangi ke tempatnya, mengajak tanding/judi",
,"paragi","yang digunakan untuk",
,"paraji","dukun beranak",
,"parak","menangkap ikan dengan mengeringkan kolam",
,"parakencilan","pergi/datang tidak bersama-sama walau satu rombong",
,"paralak","mulai bicara dengan tegas lancar, hujan",
,"paran","tujuan",
,"paranan","mendatangi wanita untuk hubungan gelap",
,"parandene","walaupun, meskipun",
,"parangi","roman muka (perangai)",
,"paranti","yang digunakan untuk",
,"parantos","sudah",
,"parapat","seperempat",
,"paras","cukur",
,"parasea","bertengkar",
,"parat","tembus",
,"parawan","perawan, gadis",
,"pardah","menyediakan keperluan sehari-hari",
,"pare","padi",
,"pareheng","tidak saling tegur sapa(bertengkar)",
,"parek",,
,"parekos","ditekuk, diringkas agar masuk ke tempat kecil",
,"parele atau marele",,
,"pareng","kebetulan",
,"pareum","padam",
,"paria","pare(paria)",
,"parieus","memilin, pelintir",
,"pariksa","bertanya, meriksa",
,"parin","memberi",
,"parios","periksa",
,"paripaos","peribahasa",
,"parna","parah(sakit)",
,"paro","separuh/sebagian",
,"parobahan","perubahan",
,"parok","umum",
,"parongpong","kosong sama sekali",
,"parud","parut",
,"parupuyan","wadah untuk membakar kemenyan",
,"pasagi","persegi",
,"pasaka","besar serta kokoh",
,"pasalia","tidak sesuai, berbeda",
,"pasalingsingan","selisih jalan",
,"pasamoan","pertemuan",
,"pasanggiri","perlombaan/sayembara di bidang kebudayaan",
,"pasanggrok","bertemu, bersua, berjumpa",
,"pasaran","usungan mayat",
,"pasarandog","berjumpa di jalan",
,"pasaratan","persyaratan",
,"pasea","bertengkar",
,"pasehat","fasih",
,"pasek","padat, sesak",
,"pasekon","merupakan sudut 90 edrajat",
,"pasemon","roman wajah",
,"paseuk","pasak",
,"pasi","bagian",
,"pasihan","pemberian, memberi",
,"pasiksak","hancur berantakan",
,"pasing","dipiash-pisah menurut  warna, besar",
,"pasini","janji",
,"pasir","bukit",
,"pasrah","pasrah",
,"pasti","pasti",
,"pasualan","persoalan",
,"pataka","perhiasan pada puncak masjid",
,"patalina","kaitannya",
,"patani","petani",
,"patembalan","bersahutan",
,"patepok","musim kawin",
,"pateuh","keseleo, patah tulang kaki",
,"pati","mati",
,"patil","sirip ikan lele",
,"pating","pada",
,"patok","tonggak, pancang, tetap",
,"patos","kurang, tidak seberapa",
,"patotos","mencocokkan pendapat/musyawarah",
,"patri","solder",
,"patuh","tinggal di suatu tempat",
,"patukang-tonggong","bertolak-belakang",
,"patung","memberi secara urunan(patungan)",
,"patut","rupa",
,"paul","biru langit",
,"paur","ngeri, khawatir",
,"paut","menarik pelan-pelan",
,"pawit","modal pertama",
,"pawon","dapur",
,"paya","kuat badan",
,"payang","digotong, dipapah",
,"payu","laku, ada yang membeli",
,"payun","depan",
,"payus","pantas, serasi",
,"peang","pudar",
,"pecak","mencoba",
,"pecak","mencoba",
,"pecat","lepas, copot",
,"pecekrek","pendek sekali",
,"pecenghul","datang/muncul",
,"pecil","anak",
,"pecoh","bertengkar",
,"pecut","cambuk",
,"pedah","sebab, oleh karena",
,"pedar","menerangkan dengan panjang lebar",
,"pedengkreng","perlente",
,"pedes","lada/merica",
,"pegar","menetas, ganti kulit(ular)",
,"pegat","putus",
,"pegeg","ditahan, tidak lepas (suara)",
,"pegel","pegal",
,"pego","bisu",
,"pegung","tertahan, tertahan",
,"pehek","pipih karena dipukul/digencet",
,"pejret","remuk",
,"pek","menyuruh lakukan sesuatu",
,"pekprek","memukul barang sampai remuk/pecah",
,"pelag","tertahan di tenggorokan",
,"pelak","menanam",
,"peledug","mengeluarkan asap/debu",
,"pelekik","angkuh, sombong",
,"pelem","gurih",
,"pelendong","kendur",
,"pelendung","menggembung",
,"peleng","melihat dengan mata hati",
,"pelenge","membuka seidkit",
,"pelengkung","lengkung",
,"pelepes","mudah padam",
,"peler","ngantuk, hampir merem karena nikmat",
,"peleter","dikerjakan hampir tiada henti",
,"peletet","membuka mata sedikit",
,"pelong","menatap",
,"pencar","menyebar kemana-mana",
,"pencenit","tampak manis",
,"pencet","pijat",
,"pencrong","menatap tajam",
,"pencug","dicangkul dalam-dalam",
,"pendak","menemukan",
,"pendek","pendek",
,"pendet","membendung(tutup)",
,"peng atau pung",,
,"penggel","disekat",
,"pengkek","menahan agar tidak keluar dari lubang-lubang tubuh",
,"pengker","belakang/punggung",
,"pengkol","belok",
,"pengkor","pincang",
,"pengkuh","kukuh",
,"pengpelangan","paha bagian dalam",
,"pengpeong","tergila-gila",
,"penjol","tidak bulat",
,"penta","minta",
,"pentes","dimintai tolong yang sulit untuk dipenuhi",
,"pentil","masih sangat muda (buah), puting susu",
,"pentingna","pentingnya",
,"pentog","membentur, menegur sambil menyalahkan",
,"pentrang","dijemur dibawah terik matahari",
,"penyon","penyok",
,"peped","berjalan di pinggir sekali",
,"pepedut","kabut",
,"pepek","lengkap",
,"pepelakan","tanaman",
,"peperenian","barang yang sengaja disimpan untuk kepentingan men",
,"peperet","sisa sedikit",
,"pepes","membuat agar layu/kempis",
,"pepet","menahan (nafas)",
,"perah","gagang",
,"perang","pirang",
,"perbait","mengurus mayat yang akan dikubur",
,"percanten","percaya",
,"perceka","pintar/ahli mengatur pekerjaan",
,"perdaya","ditipu, diakali",
,"pere","libur, tidak masuk(gigi persneling)",
,"pered","tidak lancar, tidak licin",
,"peredih","meminta dengan sangat",
,"perego","tertangkap basah, kepergok",
,"perekpek","dipukuli bertubi-tubi",
,"peren","habis sama sekali",
,"perenah","pantas sebagaimana mestinya",
,"perengkel","menciut, mengkerut",
,"peres","memeras",
,"peretek","penuh dengan perabotan/hiasan(rumah)",
,"pergasa","menganiaya, membunuh",
,"perih","prihatin",
,"perkawis","perkara",
,"perkosa","gagah, kuat",
,"perlaya","maut, mati",
,"perlu","perlu",
,"permios","permisi",
,"persaben","maaf (tidak bisa memberi apa-apa)",
,"pertela","keterangan, perincian",
,"pertentang","pandai bicara, lantang",
,"peruh","melengkungkan",
,"peryogi","perlu",
,"pes","padam",
,"pesak","saku",
,"pesat","menghunus, menarik dari sarungnya (pedang)",
,"pesek","mengupas",
,"peser","beli",
,"peso","pisau",
,"peta","egrak, usaha",
,"peteng","gelap, gerhana matahari",
,"petet","sipit",
,"petetan","benih/bibit tanaman",
,"peting","memilih yang terbaik",
,"petir","petai hutan",
,"peto","terpilih harus mengerjakan perkara",
,"petot","tak ada hentinya",
,"petot","tak ada hentinya",
,"peucang","kancil",
,"peujit","usu",
,"peuncit","sembelih",
,"peundeut","tertutup(pintu)",
,"peunggas","patah (dahan pohon) terlalu berat oleh buah",
,"peungkeur","agak keras",
,"peungpeuk","menutupi, manghalangi muka dengan kedua tangan",
,"peuntas","tepi air (sungai,kolam, telaga)",
,"peunteun","angka nilai",
,"peupeuh","mukul",
,"peupeuleukeuk","menonjolkan diri agar disebut pandai",
,"peupeus","pecah",
,"peura","serak",
,"peurah","bisa (ular)",
,"peureudeuy","berkedip-kedip karena silai/kemasukan debu",
,"peureum","merem, memejamkan mata",
,"peureup","kepalan tangan",
,"peureus","rasa nyeri seperti dipukul sapu lidi/perih",
,"peureut","peres agar keluar airnya/santan",
,"peurih","pedih,perih",
,"peuseul","memijat",
,"peuteuy","petai",
,"peuting","malam",
,"peuyeuh","parau, serak",
,"peuyeum","tape",
,"piagem","piagam",
,"pias","pucat pasi",
,"picangcam","diceritaka-ceritakan karena dirindukan",
,"piceun","buang, buang air besar, seperti melupakan sahabat",
,"pidana","pidana",
,"pidang","mejeng, dipertunjukkan",
,"pidangdam","memanggil-manggil orang sudah meninggal",
,"pidawuh","sabda",
,"pidua","doa",
,"pihape","titip",
,"piit","pipit",
,"pikahariwangeun","mengkhawatirkan",
,"pikeun","untuk",
,"pilayungeun","akan bersemburat warna-warni",
,"pilemburan","pedesaan/perkampungan",
,"pilihan","pilihan",
,"pilihna","pilihnya",
,"pinandita","bersifat pandita (orang suci)",
,"pinangsaraya","meminta pertolongan perkara sulit",
,"pinareup","payudara",
,"pincuk","bungkusan kecil dari daun pisang",
,"pincut","tertarik, terpikat",
,"pindah","pindah",
,"pinding","menghalangi pandangan",
,"ping","tanggalan",
,"pinggel","gelang",
,"pingkel","tertawa tergelak/terpingkal",
,"pingping","paha",
,"pintel","lipat",
,"pinter","pintar, pandai",
,"pinton","diperlihatkan",
,"pinuh","penuh",
,"pipetaeun","yang harus dilakukan",
,"pipir","pinggir, emper, sisi(bangunan)",
,"pipiti","besek kecil",
,"pira","tidak seberapa",
,"pirak","bercerai",
,"piraku","masa, tak mungkin",
,"pirang-pirang","masih beruntung, banyak sekali",
,"pireu","bisu",
,"pirig","diiringi",
,"piripis","hujan gerimis",
,"pirosea","mengacuhkan, menghiraukan",
,"piruca","memberi contoh buruk",
,"pirun","menyalakan perapian dengan kayu bakar",
,"pisan","amat, sangat",
,"pitak","bekas cidera/luka di kepala",
,"pites","patah",
,"pituah","nasihat, saran",
,"pituin","asli",
,"piwarang","menyuruh",
,"pocot","dipecat, diberhentikan dengan tidak hormat",
,"poe","hari, menjemur",
,"poean","harian",
,"poek","gelap, bingung(masalah)",
,"pogot","keasyikan",
,"pohara","amat, sangat",
,"poho","lupa",
,"pok","berkata",
,"pokal","prakarsa, inisiatif",
,"poko","pokok, modal, obal tempel ramuan",
,"pokona","pokoknya",
,"poksang","berani langsung mengatakan kekurangan orang lain",
,"polah","tingkah laku, ulah",
,"polah-polah","tingkah laku",
,"politik","politik",
,"polo","otak",
,"polongo","terbuka, berlubang",
,"polos","satu warna saja",
,"polotot","melotot",
,"poma","awas, hati-hati",
,"ponclot","puncak",
,"poncongok","diawasi dari dekat",
,"poncor","menerobos",
,"poncorong","bercahaya, bersinar",
,"pondah","melarang/merintangi keinginan orang lain",
,"pondok","pendek",
,"pondong","dipangku dengan mesra",
,"pongah","ompong gigi depan di tengah",
,"pongpet","kecil/mengecil lubangnya",
,"pontel","erat-erat memegang orang yang diikuti, tak mau pisah",
,"ponteng","miring, menurun",
,"ponyo","makan lahap karena lapar dan merasa nikmat",
,"poos","gagal, tidak berhasil",
,"poporogok","rumah kecil yang hampir menyerupai gubuk",
,"poporose","memaksa, berusaha  agar keinginan terkabul",
,"popoyan","memberi tahukan",
,"poreret","panas terik",
,"porolok","tidak pulen(nasi)",
,"poros","terperosok",
,"porosot","merosot, turun harga",
,"poso","kerja keras, mati-matian",
,"potol","habis modal",
,"potong","patah",
,"poyan","sinar matahari di waktu pagi",
,"poyok","mengejek, mencemoohkan",
,"poyongkod","agak bungkuk serta memperlihatkan muka ketakutan/m",
,"prah","lumrah, umum",
,"prak","mulai kerja",
,"praspris","gerimis",
,"pret","putus",
,"pret atau prut",,
,"pribadi","pribadi",
